,Location,coordinates
91,505 Sansome St 1001 San Francisco,"(37.8053056, -122.4035876)"
92,5200 Anza St San Francisco,"(37.777362, -122.504042)"
93,1736 Fitzgerald Ave San Francisco,"(37.7267955102041, -122.401396346939)"
94,991 Harrison St San Francisco,"(37.7725377, -122.4100831)"
95,255 Columbus Ave San Francisco,"(37.797416, -122.406177)"
96,1362 Stockton St San Francisco,"(37.798473, -122.4086479)"
97,700 Filbert St San Francisco,"(37.8012592, -122.4112203)"
98,781 Sacramento St San Francisco,"(37.7933441836735, -122.405737122449)"
99,624 Taraval St San Francisco,"(37.7432579183673, -122.472826857143)"
100,345 California St 150 San Francisco,"(37.7925527, -122.4000203)"
91,505 Sansome St 1001 San Francisco,"(37.8053056, -122.4035876)"
92,5200 Anza St San Francisco,"(37.777362, -122.504042)"
93,1736 Fitzgerald Ave San Francisco,"(37.7267955102041, -122.401396346939)"
94,991 Harrison St San Francisco,"(37.7725377, -122.4100831)"
95,255 Columbus Ave San Francisco,"(37.797416, -122.406177)"
96,1362 Stockton St San Francisco,"(37.798473, -122.4086479)"
97,700 Filbert St San Francisco,"(37.8012592, -122.4112203)"
98,781 Sacramento St San Francisco,"(37.7933441836735, -122.405737122449)"
99,624 Taraval St San Francisco,"(37.7432579183673, -122.472826857143)"
100,345 California St 150 San Francisco,"(37.7925527, -122.4000203)"
