,Location,coordinates
201,676 Capp St San Francisco,"(37.7559227346939, -122.417803183673)"
202,582 Market St 1409 San Francisco,"(37.78948525, -122.40160060745)"
203,1001 16th St San Francisco,"(37.7666956, -122.3926894)"
204,83 Connecticut St San Francisco,"(37.7653725700558, -122.397662038135)"
205,918 Pacific Ave San Francisco,"(37.7965321, -122.4105067)"
206,39 Waverly Pl San Francisco,"(37.7936717755102, -122.406820020408)"
207,1137 Bush St 1 San Francisco,
208,818 Jackson St San Francisco,"(37.7963079, -122.4044278)"
209,3801 Geary Blvd San Francisco,"(37.7816588, -122.4532539)"
210,50 California St 12th Fl San Francisco,
