,Location,coordinates
481,1340 16th Ave San Francisco,"(37.7629403265306, -122.473756102041)"
482,51 Cordelia St San Francisco,"(37.7970486627785, -122.409037443636)"
483,1347 Jackson St San Francisco,"(37.7946072593498, -122.417152691117)"
484,828 Bay St San Francisco,"(37.8047977142857, -122.420729)"
485,1062 Pacific Ave San Francisco,"(37.7962506666667, -122.412699666667)"
486,610 Kearny St San Francisco,"(37.7937819230769, -122.404554692308)"
487,1348 Sacramento St San Francisco,"(37.792339, -122.414979)"
488,33-35 Surrey St San Francisco,"(37.7351263685797, -122.433146613003)"
489,225 Jones St San Francisco,"(37.7832998181818, -122.412575818182)"
490,2954 21st St San Francisco,"(37.7574320833333, -122.413675333333)"
491,299 Arguello Blvd San Francisco,"(37.785178, -122.459247)"
492,1353 20th Ave San Francisco,"(37.7625300612245, -122.478226571429)"
493,1538 Clay St San Francisco,"(37.792809, -122.418372705882)"
494,553 27th Ave San Francisco,"(37.7789525714286, -122.486906857143)"
495,125 Bay St San Francisco,"(37.8044766, -122.4225693)"
496,550 27th St San Francisco,"(37.7466702424296, -122.432619366177)"
497,254 27th Ave San Francisco,"(37.784639, -122.487108530612)"
498,1465 10th Ave San Francisco,"(37.7609356326531, -122.467272857143)"
499,2715 Cabrillo St San Francisco,"(37.774196, -122.487791857143)"
500,2285 Filbert St San Francisco,"(37.7977734285714, -122.436964428571)"
501,375 14th St San Francisco,"(37.7680755333333, -122.421896266667)"
502,2648 Judah St San Francisco,"(37.7612307, -122.4906616)"
503,1385 20th Ave San Francisco,"(37.7620027142857, -122.47819)"
504,5547 Mission St San Francisco,"(37.7724921, -122.4188648)"
505,1390 Washington St San Francisco,"(37.7940024117647, -122.416081823529)"
506,1518 Jackson St San Francisco,"(37.7943845918367, -122.420169857143)"
507,1391 38th Ave San Francisco,"(37.761053755102, -122.497474306122)"
508,2327 Clement St San Francisco,"(37.7819771836735, -122.484154367347)"
509,1395 47th Ave San Francisco,"(37.7606022, -122.507188406476)"
510,140 Day St San Francisco,"(37.7430764, -122.4253464)"
