,Location,coordinates
131,25 Point Lobos Ave San Francisco,"(37.77943405, -122.503512184227)"
132,141 Kearny St San Francisco,"(37.7894374, -122.404112661715)"
133,1189 Potrero Ave San Francisco,"(37.7685744, -122.4078316)"
134,4129 18th St San Francisco,"(37.7607613, -122.4356957)"
135,2690 Mission St San Francisco,"(37.754036, -122.418990651993)"
136,3001 Taraval St San Francisco,"(37.7418328, -122.498545392182)"
137,2 West Portal Ave San Francisco,"(37.7408923, -122.466213170169)"
138,33 Drumm St San Francisco,"(37.7941031, -122.3966895)"
139,685 Portola Dr San Francisco,"(37.7445279, -122.4528557)"
140,1301 Market St San Francisco,"(37.7663455, -122.4305679)"
131,25 Point Lobos Ave San Francisco,"(37.77943405, -122.503512184227)"
132,141 Kearny St San Francisco,"(37.7894374, -122.404112661715)"
133,1189 Potrero Ave San Francisco,"(37.7685744, -122.4078316)"
134,4129 18th St San Francisco,"(37.7607613, -122.4356957)"
135,2690 Mission St San Francisco,"(37.754036, -122.418990651993)"
136,3001 Taraval St San Francisco,"(37.7418328, -122.498545392182)"
137,2 West Portal Ave San Francisco,"(37.7408923, -122.466213170169)"
138,33 Drumm St San Francisco,"(37.7941031, -122.3966895)"
139,685 Portola Dr San Francisco,"(37.7445279, -122.4528557)"
140,1301 Market St San Francisco,"(37.7663455, -122.4305679)"
