,Location,coordinates
321,3524 Cabrillo St San Francisco,"(37.7739644285714, -122.496461632653)"
322,69 Maiden Ln San Francisco,"(37.7882163673469, -122.404580183673)"
323,891 26th Ave San Francisco,"(37.7727713265306, -122.48538455102)"
324,1561 Leavenworth St San Francisco,"(37.7952833469388, -122.416680204082)"
325,1201 5th Ave San Francisco,"(37.7659566, -122.4623177)"
326,1206 Stockton St San Francisco,"(37.7968931428571, -122.408364142857)"
327,1200 Stockton St San Francisco,"(37.7968178, -122.4083185)"
328,121 Dolores St 4 San Francisco,"(37.7675428148148, -122.426454111111)"
329,121 Jersey St San Francisco,"(37.7507853, -122.4279021)"
330,1215 Bay St San Francisco,"(37.8038109372957, -122.427084028408)"
