,Location,coordinates
1,301 Claremont Blvd San Francisco,"(37.74051, -122.464978)"
2,3675 Geary Blvd San Francisco,"(37.7816588, -122.4532539)"
3,2301 Lombard St San Francisco,"(37.802076, -122.4188091)"
4,1288 19th St San Francisco,"(37.7614540816327, -122.395224265306)"
5,1000 Harrison St San Francisco,"(37.77762225, -122.404996568636)"
6,1198 Valencia St San Francisco,"(37.7583028, -122.4212528)"
7,1100 Junipero Serra Blvd San Francisco,"(37.717977, -122.472741)"
8,2500 California St San Francisco,"(37.7847373, -122.4666182)"
9,345 California St San Francisco,"(37.7925527, -122.4000203)"
10,101 Bayshore Blvd San Francisco,"(37.7468217, -122.403348304553)"
1,301 Claremont Blvd San Francisco,"(37.74051, -122.464978)"
2,3675 Geary Blvd San Francisco,"(37.7816588, -122.4532539)"
3,2301 Lombard St San Francisco,"(37.802076, -122.4188091)"
4,1288 19th St San Francisco,"(37.7614540816327, -122.395224265306)"
5,1000 Harrison St San Francisco,"(37.77762225, -122.404996568636)"
6,1198 Valencia St San Francisco,"(37.7583028, -122.4212528)"
7,1100 Junipero Serra Blvd San Francisco,"(37.717977, -122.472741)"
8,2500 California St San Francisco,"(37.7847373, -122.4666182)"
9,345 California St San Francisco,"(37.7925527, -122.4000203)"
10,101 Bayshore Blvd San Francisco,"(37.7468217, -122.403348304553)"
