,Location,coordinates
61,500 Sansome St 614 San Francisco,"(37.8053056, -122.4035876)"
62,49 Spofford St San Francisco,"(37.794549, -122.4074008)"
63,525 Market St San Francisco,"(37.79050745, -122.39915845)"
64,345 California St 2000 San Francisco,"(37.7925527, -122.4000203)"
65,1390 Market St 201 San Francisco,"(37.7774401, -122.4169146)"
66,898 Pennsylvania Ave San Francisco,"(37.755213, -122.392999)"
67,4233 Geary Blvd San Francisco,"(37.7816588, -122.4532539)"
68,2037 Hyde St San Francisco,"(37.7997535306122, -122.419263918367)"
69,969 Point St San Francisco,
70,967 Northpoint St San+francisco,
61,500 Sansome St 614 San Francisco,"(37.8053056, -122.4035876)"
62,49 Spofford St San Francisco,"(37.794549, -122.4074008)"
63,525 Market St San Francisco,"(37.79050745, -122.39915845)"
64,345 California St 2000 San Francisco,"(37.7925527, -122.4000203)"
65,1390 Market St 201 San Francisco,"(37.7774401, -122.4169146)"
66,898 Pennsylvania Ave San Francisco,"(37.755213, -122.392999)"
67,4233 Geary Blvd San Francisco,"(37.7816588, -122.4532539)"
68,2037 Hyde St San Francisco,"(37.7997535306122, -122.419263918367)"
69,969 Point St San Francisco,
70,967 Northpoint St San+francisco,
