,Location,coordinates
471,5450 Fulton St San Francisco,"(37.7723821428571, -122.490091836735)"
472,812 Grant Ave San Francisco,"(37.7944272666667, -122.406231511111)"
473,810 Grant Ave San Francisco,"(37.7944131333333, -122.406228755556)"
474,2301 Broadway St San+francisco,
475,1340 Grant Ave San Francisco,"(37.7991901836735, -122.407185142857)"
476,491 Post St San Francisco,"(37.7880445714286, -122.409694428571)"
477,1235 Stockton St San Francisco,"(37.7971632, -122.4087001)"
478,1336 Grant Ave San Francisco,"(37.7991622653061, -122.407179428571)"
479,1241 Stockton St San Francisco,"(37.7972269, -122.4087051)"
480,1340 Grant Ave 1 San Francisco,
