,Location,coordinates
441,1325 Hyde St San Francisco,"(37.793068755102, -122.417917346939)"
442,1354 Sacramento St San Francisco,"(37.792298, -122.415299444444)"
443,1537 Jones St San Francisco,"(37.7953339387755, -122.415000755102)"
444,1329 Sacramento St San Francisco,"(37.7922035, -122.414731)"
445,454 9th Ave San Francisco,"(37.7797959591837, -122.467309285714)"
446,8 Rondel Pl San Francisco,"(37.7647653125, -122.4213260625)"
447,3079 16th St San Francisco,"(37.7666956, -122.3926894)"
448,133 Buchanan St San Francisco,"(37.7709939795918, -122.426953714286)"
449,1219 8th Ave San Francisco,"(37.7655309, -122.465644671233)"
450,96 Toledo Way San Francisco,"(37.8011236585135, -122.439421526755)"
