,Location,coordinates
101,135 Powell St San Francisco,"(37.7920254, -122.4091903)"
102,3601 California St San Francisco,"(37.786317, -122.453544)"
103,1524 Polk St San Francisco,"(37.7910072, -122.420621)"
104,1344 Stockton St San Francisco,"(37.79825655, -122.4084126)"
105,1201 Taraval St San Francisco,"(37.74266235, -122.479132874156)"
106,3398 Mission St San Francisco,"(37.7425253, -122.422181549213)"
107,4645 Mission St San Francisco,"(37.7724921, -122.4188648)"
108,1979 Mission St San Francisco,"(37.7654163, -122.4195183)"
109,500 Geary St San Francisco,"(37.787002, -122.411686)"
110,499 Haight St San Francisco,"(37.7720316, -122.430285)"
101,135 Powell St San Francisco,"(37.7920254, -122.4091903)"
102,3601 California St San Francisco,"(37.786317, -122.453544)"
103,1524 Polk St San Francisco,"(37.7910072, -122.420621)"
104,1344 Stockton St San Francisco,"(37.79825655, -122.4084126)"
105,1201 Taraval St San Francisco,"(37.74266235, -122.479132874156)"
106,3398 Mission St San Francisco,"(37.7425253, -122.422181549213)"
107,4645 Mission St San Francisco,"(37.7724921, -122.4188648)"
108,1979 Mission St San Francisco,"(37.7654163, -122.4195183)"
109,500 Geary St San Francisco,"(37.787002, -122.411686)"
110,499 Haight St San Francisco,"(37.7720316, -122.430285)"
