,Location,coordinates
411,1284 Noe St San Francisco,"(37.7485062916667, -122.431689916667)"
412,1285 46th Ave San Francisco,"(37.7626337142857, -122.506187142857)"
413,500 Greenwich St San Francisco,"(37.802573, -122.408074)"
414,5625 Mission St San Francisco,"(37.7724921, -122.4188648)"
415,1295 Guerrero St San Francisco,"(37.7505492, -122.4225942)"
416,555 Clayton St San Francisco,"(37.7702163469388, -122.448768857143)"
417,1299 California St San Francisco,"(37.791144, -122.41558)"
418,941 Dolores St San Francisco,"(37.7543697391304, -122.425175852174)"
419,84 Onondaga Ave San Francisco,"(37.7220255, -122.4394205)"
420,130 Graystone Ter San Francisco,"(37.757455389747, -122.446500046394)"
