,Location,coordinates
191,2200 Oakdale Ave San Francisco,"(37.7430206, -122.4051772)"
192,582-92 Market St San Francisco,
193,5978 Mission St San Francisco,"(37.7724921, -122.4188648)"
194,3000 23rd St San Francisco,"(37.755163, -122.3918937)"
195,563 Clay St 200 San Francisco,"(37.7946291428571, -122.402799755102)"
196,1130 Broadway St San+francisco,
197,425 2nd St San Francisco,"(37.78413175, -122.39445106584)"
198,2519 Mission St San Francisco,"(37.7566696734694, -122.418762122449)"
199,2571 Mission St San Francisco,"(37.7559522857143, -122.418693142857)"
200,2001 Mission St San Francisco,"(37.764934, -122.419554)"
191,2200 Oakdale Ave San Francisco,"(37.7430206, -122.4051772)"
192,582-92 Market St San Francisco,
193,5978 Mission St San Francisco,"(37.7724921, -122.4188648)"
194,3000 23rd St San Francisco,"(37.755163, -122.3918937)"
195,563 Clay St 200 San Francisco,"(37.7946291428571, -122.402799755102)"
196,1130 Broadway St San+francisco,
197,425 2nd St San Francisco,"(37.78413175, -122.39445106584)"
198,2519 Mission St San Francisco,"(37.7566696734694, -122.418762122449)"
199,2571 Mission St San Francisco,"(37.7559522857143, -122.418693142857)"
200,2001 Mission St San Francisco,"(37.764934, -122.419554)"
