,Location,coordinates
261,138 Waverly Pl San Francisco,"(37.7945792244898, -122.406793795918)"
262,1044 Stanyan St San Francisco,"(37.7648693, -122.452483478846)"
263,2608 21st St San Francisco,"(37.7578285, -122.407070333333)"
264,106 Eureka St 1 San Francisco,
265,1060 Powell St San Francisco,"(37.7943794489796, -122.409543816327)"
266,1073 Bush St San Francisco,"(37.789317, -122.414741)"
267,1075 Washington St San Francisco,"(37.7944975, -122.410935)"
268,1080 Francisco St San Francisco,"(37.8035406046924, -122.422925993857)"
269,1100 Leavenworth St San Francisco,"(37.791331, -122.41567)"
270,1100 Church St San Francisco,"(37.7531826, -122.4278034)"
