,Location,coordinates
351,1271 9th Ave San Francisco,"(37.76458405, -122.46667055)"
352,1770 9th Ave San Francisco,"(37.75529125, -122.465435742892)"
353,1264 9th Ave San Francisco,"(37.7647901, -122.4660523)"
354,2707 44th Ave San Francisco,"(37.73606315, -122.502350260074)"
355,3301 Wawona St San Francisco,"(37.73614405, -122.502366035699)"
356,1612 48th Ave San Francisco,"(37.756282122449, -122.507679040816)"
357,2842 Taraval St San Francisco,"(37.7422124285714, -122.496534428571)"
358,860 Corbett Ave San Francisco,"(37.753145358008, -122.443633521352)"
359,1235 Clay St San Francisco,"(37.7932722344282, -122.413428843336)"
360,1233 Taylor St San Francisco,"(37.7938276666667, -122.413015111111)"
