,Location,coordinates
161,901 Hyde St San Francisco,"(37.789219, -122.417144)"
162,500 Parnassus Ave 1 Lvl Mu 005 San Francisco,
163,3400 Cesar Chavez St San Francisco,"(37.7483339, -122.4183309)"
164,670 4th St San Francisco,"(37.7773715833333, -122.395481333333)"
165,88 Spear St San Francisco,"(37.7925355, -122.3943554)"
166,1175 Columbus Ave San Francisco,"(37.8033994, -122.4146703)"
167,2262 Market St San Francisco,"(37.7663455, -122.4305679)"
168,500 Parnassus Ave J Level Mu-145 San Francisco,
169,845 Market St San Francisco,"(37.7837394, -122.4056313)"
170,777 Davis St San Francisco,"(37.7997126, -122.3990293)"
161,901 Hyde St San Francisco,"(37.789219, -122.417144)"
162,500 Parnassus Ave 1 Lvl Mu 005 San Francisco,
163,3400 Cesar Chavez St San Francisco,"(37.7483339, -122.4183309)"
164,670 4th St San Francisco,"(37.7773715833333, -122.395481333333)"
165,88 Spear St San Francisco,"(37.7925355, -122.3943554)"
166,1175 Columbus Ave San Francisco,"(37.8033994, -122.4146703)"
167,2262 Market St San Francisco,"(37.7663455, -122.4305679)"
168,500 Parnassus Ave J Level Mu-145 San Francisco,
169,845 Market St San Francisco,"(37.7837394, -122.4056313)"
170,777 Davis St San Francisco,"(37.7997126, -122.3990293)"
